	SRR521207	SRR515153	SRR521174	SRR518987	SRR521180	SRR521181	SRR521183	SRR521188	SRR521191	SRR521194	SRR521211	SRR521212	SRR521213	SRR521214	SRR521235	SRR521190	SRR521196	SRR521177	SRR521198	SRR521185	SRR521225	SRR521215	SRR521221	SRR521242	SRR521203	SRR521219	SRR521197	SRR521227	SRR521247	SRR521172	SRR521173	SRR521232	SRR521220	SRR521259	SRR521244	SRR521176	SRR521195	SRR521209	SRR521192	SRR521189	SRR521175	SRR521200	SRR521251	SRR521253	SRR521216	SRR521230	SRR521234	SRR521236	SRR521239	SRR521241	SRR521243	SRR521249	SRR521258	SRR521264	SRR521265	SRR521222	SRR521182	SRR521187	SRR521205	SRR521226	SRR521250	SRR521199	SRR521233	SRR521245	SRR521179	SRR521237	SRR521204	SRR521184	SRR521255	SRR521178	SRR521186	SRR521252	SRR521217	SRR521246	SRR521193	SRR521202	SRR521224	SRR521257	SRR521208	SRR521223	SRR521256	SRR521231	SRR521248	SRR521240	SRR521238	SRR521260	SRR521262	SRR521229	SRR521254	SRR521261	SRR521201	SRR521206	SRR521263
SRR521211	0.257122475	0.174200675	0.201981225	0.156395225	0.1470511375	0.3514726	0.1441269625	0.1013882625	0.176774725	0.190670275	0.0	0.1187545875	0.30678055	0.1624179375	0.210799125	0.1153337875	0.109057925	0.1617021125	0.1325659125	0.121152475	0.1614900375	0.1740782625	0.128046275	0.3092218	0.13418915	0.14909785	0.101071875	0.2410516125	0.33235405	0.10769525	0.1459888875	0.3297772625	0.2460777	0.370078275	0.3609077	0.1704976875	0.1285835625	0.3406738	0.271771525	0.219742775	0.1298287875	0.1378438375	0.3194569	0.32325525	0.3342579875	0.2323087125	0.404206025	0.3142810125	0.3273923375	0.3229902625	0.3062062125	0.250866875	0.3716702875	0.2510073125	0.3414720625	0.1418536	0.0954825625	0.2174428625	0.22462945	0.2070717	0.20289785	0.1068285125	0.2888714	0.2581446	0.2357169	0.3452226125	0.3716215625	0.21359585	0.2921344	0.1603866625	0.15829655	0.19364835	0.3995829375	0.3320381375	0.1105823625	0.358699525	0.3784315625	0.3042688875	0.3496121375	0.361220425	0.315317525	0.3752795	0.3640314	0.40228145	0.38535195	0.3561683	0.3614025125	0.3745139875	0.234396775	0.3698770875	0.379294775	0.3675832125	0.2424670625
SRR521212	0.2649647875	0.1799183875	0.2117412125	0.1740428375	0.1229503	0.3607314125	0.151565375	0.12379215	0.1800490625	0.1988365875	0.1187545875	0.0	0.2532863625	0.1295771	0.2252666875	0.094784825	0.0919923875	0.16528775	0.11049175	0.1153998375	0.202848375	0.2143302	0.1651012625	0.3401648625	0.0818444125	0.0765510625	0.0992249625	0.2431433	0.3602204875	0.1163510625	0.14707425	0.380846875	0.2023278375	0.3923188875	0.3816826375	0.167230525	0.11077225	0.3766074125	0.2721093125	0.1984161875	0.110794875	0.1539502	0.3520988125	0.3589965875	0.37249925	0.25702535	0.4290737125	0.344448875	0.3567684	0.36327715	0.33784655	0.2923219625	0.4019811	0.283899875	0.373770575	0.1089463375	0.10388795	0.1939976	0.2200369125	0.1963314875	0.2134265125	0.113409725	0.3191664625	0.2860303125	0.2413947625	0.380115925	0.39955185	0.2144803875	0.3154396875	0.164384425	0.1677105375	0.1984115375	0.405708075	0.349649525	0.1413289	0.3970444625	0.41101345	0.33423885	0.3843781	0.3917316125	0.3448001625	0.4161664125	0.3998494125	0.3991522625	0.4083464375	0.3935927875	0.39580315	0.374140625	0.2782205125	0.40244005	0.3954282625	0.400205425	0.267549125
SRR521213	0.16195965	0.387324525	0.4182525	0.3777273	0.2738323875	0.218483625	0.3598238375	0.3187526625	0.22658345	0.3923578	0.30678055	0.2532863625	0.0	0.2756811375	0.399566325	0.2955068375	0.28142115	0.3752755625	0.2650598375	0.327316	0.1968801625	0.2126869875	0.2368368	0.5261606	0.303398275	0.2428517	0.281050825	0.1613393875	0.54386025	0.3096836	0.2470281875	0.5751610625	0.125135675	0.58199455	0.585409575	0.2370276125	0.2848079125	0.566089525	0.49277405	0.1810961	0.2658362125	0.3509903875	0.5502947	0.54883565	0.5604122875	0.2776977625	0.59815215	0.5219818875	0.5463509375	0.5483569875	0.5261548875	0.465102275	0.6013170625	0.4630146125	0.5760396375	0.230158925	0.2977220625	0.3638907125	0.175926325	0.196701075	0.42431565	0.3159928875	0.439691225	0.476620675	0.4513385	0.5639644875	0.5838784125	0.421628325	0.502673125	0.3739741125	0.3799028	0.35329475	0.6151747625	0.5317511875	0.3234618125	0.590943775	0.5973911125	0.5260898125	0.5706783875	0.5772961	0.538244725	0.606070925	0.59589525	0.610443775	0.604608075	0.59272535	0.5824674875	0.5748698875	0.47593645	0.5935623875	0.5908643	0.5920635125	0.4514942125
SRR521214	0.3054707125	0.1494381375	0.1816806375	0.1435257375	0.206601025	0.4072530375	0.131018025	0.146544925	0.2379625125	0.1477246875	0.1624179375	0.1295771	0.2756811375	0.0	0.1959584375	0.1632447	0.1598226125	0.14502285	0.167312825	0.1145992875	0.258048925	0.283261875	0.2284149125	0.2938492125	0.0860202125	0.1583857625	0.1668516375	0.296439275	0.3095124375	0.1178413375	0.214726625	0.336915825	0.2152508125	0.3394463625	0.3393580375	0.24328965	0.1871537	0.3223279125	0.2542910625	0.2677552375	0.176501175	0.134078425	0.3027702125	0.3074254375	0.321796625	0.30982515	0.3581566625	0.284474425	0.303279325	0.31364205	0.2833368	0.3103732125	0.36522215	0.23185205	0.3339844	0.1167986625	0.1447405	0.113879925	0.2748926625	0.2532059125	0.1862106125	0.1599946	0.3503815125	0.2353251375	0.2116093125	0.326293725	0.3400832	0.1880327875	0.2642557875	0.150399175	0.1555337125	0.2223402875	0.367320625	0.29642095	0.1282835	0.3475847125	0.3566221	0.28929305	0.326750875	0.3327298375	0.2951215875	0.3658872875	0.3536294625	0.3629488375	0.3656848625	0.3507461625	0.34307175	0.326822775	0.2460804875	0.352491825	0.3423472625	0.350476625	0.2187162
SRR521235	0.38170385	0.213085675	0.2363401	0.217575425	0.2779185125	0.487147325	0.2116245875	0.2175866625	0.2985844	0.218137275	0.210799125	0.2252666875	0.399566325	0.1959584375	0.0	0.2312288875	0.237631	0.2144984875	0.2583414625	0.2078958	0.3304235375	0.3355303375	0.2855755	0.189998375	0.19940385	0.249249325	0.235080275	0.3731378875	0.266531625	0.1908811	0.2764015875	0.3133955625	0.34256	0.348065075	0.352197025	0.3084923875	0.2417024625	0.2959117	0.31110005	0.343622925	0.2542210375	0.2203791625	0.30557705	0.286507175	0.2646730375	0.2511485375	0.3265524	0.2511181625	0.3094906125	0.2705766375	0.3045443875	0.189704325	0.3430594375	0.1976829125	0.3389815125	0.2307818	0.2128109125	0.2143120875	0.353737325	0.336169075	0.239842075	0.2203189125	0.223720925	0.2394509	0.264335475	0.3041494125	0.3229758375	0.2569168	0.1776754	0.2251011125	0.226925875	0.108458675	0.4012477375	0.2196210625	0.2114796625	0.347785225	0.3466130875	0.2570246625	0.2968183375	0.3046509	0.265784225	0.3535661	0.3519983	0.38987335	0.3695949	0.35513445	0.3276678375	0.3503950125	0.1940071	0.3495072875	0.359499275	0.3361286375	0.1906535875
SRR521190	0.2557296125	0.1685307375	0.1945986375	0.1690899125	0.120822225	0.3404637625	0.13197965	0.10022345	0.1543295125	0.1912552375	0.1153337875	0.094784825	0.2955068375	0.1632447	0.2312288875	0.0	0.0534949375	0.128265475	0.076478	0.1130277125	0.20794955	0.211794225	0.1536650375	0.3430147375	0.1228092375	0.1279493375	0.0736952375	0.225138875	0.3643652125	0.1106077125	0.1264167	0.384631475	0.2271914625	0.3801588875	0.3760613125	0.13560935	0.079355175	0.3762879375	0.2603132875	0.1859508625	0.0831467	0.12084665	0.3568648875	0.3648512125	0.37475835	0.2462267	0.4270371875	0.3433696	0.360149475	0.36191105	0.3321596	0.2960750625	0.395263325	0.2788728	0.36914845	0.1273195125	0.0884908	0.207733625	0.2097514125	0.1748192125	0.2036060125	0.0886863	0.3222223125	0.2957529375	0.2244660125	0.382759475	0.40207575	0.2079410625	0.3219472375	0.129306575	0.1463134125	0.2064517125	0.391921475	0.354567175	0.132563475	0.3881730375	0.405121225	0.33201885	0.384657875	0.3931232875	0.3503858875	0.4095266375	0.3943456125	0.3882533625	0.3997350125	0.3826586125	0.390816375	0.36998555	0.2724969625	0.401167675	0.3916383625	0.3999287	0.255729325
SRR521196	0.2412611	0.171548575	0.193607775	0.169986825	0.1143550875	0.33447115	0.1324229625	0.0957779375	0.150025825	0.19318985	0.109057925	0.0919923875	0.28142115	0.1598226125	0.237631	0.0534949375	0.0	0.1390116125	0.0667332375	0.11178415	0.1893060125	0.2009953875	0.145889275	0.3472078	0.124310325	0.11923435	0.075059975	0.2149735375	0.36944155	0.11402325	0.1208708125	0.3889981625	0.2154555	0.3814803	0.38145655	0.1271409125	0.0778068125	0.382061075	0.2671478	0.182132925	0.0786615875	0.1319777625	0.363928325	0.36592305	0.3787720875	0.2453332125	0.43418715	0.3490344375	0.3616388125	0.3674193625	0.3323467375	0.29601625	0.4065207125	0.2812154625	0.3766595875	0.11091365	0.0832195875	0.2124256875	0.198770825	0.162073775	0.2012957	0.0894283375	0.317328575	0.300715	0.237261325	0.3878150625	0.4096587875	0.20400375	0.329322625	0.1335609125	0.153954425	0.20446805	0.3994541375	0.3618038375	0.1253615875	0.395895675	0.4117998375	0.3355803625	0.3887820625	0.39759105	0.356002175	0.415584525	0.40026785	0.393418925	0.40600795	0.39030115	0.4001939125	0.3792550875	0.276527225	0.4090455875	0.3980761	0.4046431125	0.2641426375
SRR521177	0.3386335875	0.0769520125	0.0993354125	0.0795402625	0.19655485	0.4257750125	0.0765019	0.13229965	0.2379704125	0.0998278625	0.1617021125	0.16528775	0.3752755625	0.14502285	0.2144984875	0.128265475	0.1390116125	0.0	0.166040725	0.1032125875	0.2808434	0.28788385	0.2297160125	0.2591507625	0.1174042875	0.2023440125	0.1513960625	0.31206445	0.2762781375	0.1332314875	0.2090337	0.28998275	0.3071865625	0.2888230375	0.2801958375	0.21898445	0.159995675	0.2848828375	0.1628256625	0.2809278625	0.171811125	0.094638425	0.2644250125	0.2728211875	0.2857052	0.325553775	0.3421318125	0.25796375	0.272594625	0.274095625	0.2369711	0.3113027625	0.304430725	0.190984425	0.273544225	0.1921358875	0.14153105	0.124638925	0.2924228625	0.2583275625	0.1047346125	0.134323475	0.3470403875	0.2061785875	0.1288666875	0.2923213	0.314027675	0.1122819875	0.2352378375	0.04528565	0.0724494625	0.2570162375	0.29310795	0.269591075	0.135488025	0.2976659625	0.313566425	0.243429475	0.2951493	0.3066541125	0.2610706125	0.3170179375	0.3018646125	0.2920604875	0.3055458625	0.2892610375	0.30271155	0.27957525	0.1815232125	0.309163775	0.3004612625	0.311343575	0.1724292
SRR521198	0.2256760875	0.1983028625	0.2270227125	0.1979649125	0.112742275	0.3231632875	0.1648893	0.12680985	0.1437224625	0.2087277875	0.1325659125	0.11049175	0.2650598375	0.167312825	0.2583414625	0.076478	0.0667332375	0.166040725	0.0	0.1346572375	0.180546425	0.20167285	0.1519328375	0.3687535375	0.1464551875	0.1151363375	0.0939299625	0.205286275	0.3897836375	0.1250142125	0.11665435	0.41271835	0.1955422875	0.4094874875	0.4084427625	0.133332975	0.08884285	0.4002728375	0.2971870875	0.1831326375	0.086210825	0.152224175	0.3868140625	0.3883151625	0.396248	0.24889775	0.4537118875	0.36973715	0.38325605	0.38653345	0.3613106	0.3121557875	0.42070395	0.30461065	0.398482925	0.1027888875	0.1057779	0.221550025	0.1819736125	0.1644314625	0.2318171625	0.1134592	0.3240332125	0.3227813625	0.2587335125	0.410389575	0.426716575	0.2359751375	0.3476905375	0.160494425	0.1740775125	0.2123986625	0.4231655	0.379245425	0.146401375	0.4134530625	0.43121895	0.354978975	0.409000125	0.4184432625	0.3771998375	0.4345470125	0.4210116625	0.4204555125	0.4257062875	0.4070118375	0.4164303	0.3989528	0.2996005125	0.4248104	0.4177831375	0.4224078	0.28362655
SRR521185	0.2832981	0.123798125	0.154181925	0.1127965	0.1467192875	0.381839425	0.0981828625	0.1036178125	0.184298175	0.143258975	0.121152475	0.1153998375	0.327316	0.1145992875	0.2078958	0.1130277125	0.11178415	0.1032125875	0.1346572375	0.0	0.2294824125	0.2447920875	0.190231175	0.29709715	0.0749891	0.155000775	0.1167289	0.2592336125	0.31452035	0.083464925	0.1538622375	0.3330855375	0.2614536	0.3357917	0.325681	0.1837404375	0.1289769875	0.3291862	0.2143859	0.225362925	0.1298428125	0.0942619625	0.310314325	0.30850945	0.3221027125	0.2754385125	0.380892825	0.2988218375	0.3063219125	0.3098341125	0.2817559875	0.2975194	0.3509304875	0.2327912375	0.3243515375	0.15188885	0.0986872875	0.1567134875	0.24852795	0.209808225	0.151669125	0.0963909125	0.330675575	0.248590275	0.171239325	0.3271814375	0.3524012625	0.154567425	0.276404125	0.1078473625	0.089429925	0.217423125	0.3411216625	0.3082188375	0.1050580125	0.3371159	0.3517862125	0.2814165125	0.3357693125	0.343957075	0.30456265	0.3599082	0.346643275	0.343466225	0.3522146	0.331541925	0.3413255375	0.3164042125	0.223622125	0.3492162625	0.3389035	0.3458424375	0.2131486875
SRR521225	0.1435599875	0.2905342375	0.3177314125	0.2755446875	0.165877975	0.2359717125	0.260687775	0.212459525	0.1316170125	0.2991686375	0.1614900375	0.202848375	0.1968801625	0.258048925	0.3304235375	0.20794955	0.1893060125	0.2808434	0.180546425	0.2294824125	0.0	0.0652252	0.0960092875	0.4287739625	0.2429701625	0.1845514875	0.1834050125	0.126302625	0.4545319625	0.2151878875	0.139927275	0.46282395	0.1498229875	0.4925118625	0.4885189625	0.133643825	0.191178175	0.4681047125	0.3868122375	0.1196394125	0.178809225	0.250390475	0.4535084625	0.4500222375	0.44886165	0.20288325	0.5278119625	0.43521525	0.449193125	0.443402575	0.429103725	0.3609977875	0.498539	0.36851995	0.4694938	0.1966341375	0.206905475	0.317778225	0.1163344625	0.1105253625	0.3178542125	0.2144486	0.3316441125	0.3878712125	0.3546988875	0.467968425	0.4960368	0.3225692875	0.4171699125	0.274183825	0.2673099125	0.2758693375	0.522971275	0.4576159	0.2225346	0.4835563625	0.49958815	0.42244925	0.4707506	0.4856785875	0.4433356875	0.5034081375	0.4914044125	0.5226707875	0.5067639375	0.4832567625	0.48319905	0.49395975	0.3609895625	0.4938014	0.4993961125	0.484908125	0.36439925
