	SRR521207	SRR515153	SRR521174	SRR518987	SRR521180	SRR521181	SRR521183	SRR521188	SRR521191	SRR521194	SRR521211	SRR521212	SRR521213	SRR521214	SRR521235	SRR521190	SRR521196	SRR521177	SRR521198	SRR521185	SRR521225	SRR521215	SRR521221	SRR521242	SRR521203	SRR521219	SRR521197	SRR521227	SRR521247	SRR521172	SRR521173	SRR521232	SRR521220	SRR521259	SRR521244	SRR521176	SRR521195	SRR521209	SRR521192	SRR521189	SRR521175	SRR521200	SRR521251	SRR521253	SRR521216	SRR521230	SRR521234	SRR521236	SRR521239	SRR521241	SRR521243	SRR521249	SRR521258	SRR521264	SRR521265	SRR521222	SRR521182	SRR521187	SRR521205	SRR521226	SRR521250	SRR521199	SRR521233	SRR521245	SRR521179	SRR521237	SRR521204	SRR521184	SRR521255	SRR521178	SRR521186	SRR521252	SRR521217	SRR521246	SRR521193	SRR521202	SRR521224	SRR521257	SRR521208	SRR521223	SRR521256	SRR521231	SRR521248	SRR521240	SRR521238	SRR521260	SRR521262	SRR521229	SRR521254	SRR521261	SRR521201	SRR521206	SRR521263
SRR521211	0.2225	0.17375	0.17125	0.1375	0.0925	0.32125	0.115	0.08625	0.17375	0.21125	0.0	0.10125	0.235	0.1825	0.21375	0.09875	0.07	0.12875	0.0775	0.12	0.145	0.17875	0.11375	0.3425	0.09875	0.11875	0.09	0.2125	0.335	0.12	0.13375	0.3425	0.19	0.36	0.36125	0.15375	0.1275	0.35	0.2225	0.1825	0.0925	0.13625	0.34375	0.32375	0.3425	0.2275	0.40625	0.32875	0.3325	0.305	0.3125	0.2925	0.3425	0.26	0.33375	0.15625	0.0925	0.24125	0.18	0.17625	0.1925	0.10125	0.31	0.26	0.225	0.335	0.395	0.1675	0.33875	0.115	0.1175	0.18625	0.3925	0.34625	0.08125	0.35125	0.385	0.31625	0.36	0.38875	0.31375	0.37125	0.36375	0.38625	0.38375	0.33625	0.36625	0.37625	0.255	0.37125	0.38375	0.35375	0.24125
SRR521212	0.215	0.1575	0.17875	0.13125	0.0875	0.34	0.105	0.08875	0.14125	0.17125	0.10125	0.0	0.20375	0.145	0.19375	0.0775	0.0725	0.13625	0.08125	0.12125	0.17625	0.215	0.155	0.33375	0.08	0.0525	0.1275	0.20625	0.32	0.09125	0.10875	0.35625	0.16	0.355	0.36625	0.15875	0.0975	0.33375	0.22625	0.17125	0.0675	0.0925	0.34375	0.3075	0.33875	0.25125	0.38125	0.31375	0.32375	0.31	0.29625	0.3075	0.33625	0.2625	0.35375	0.13375	0.06	0.21625	0.16875	0.15625	0.1925	0.07875	0.33375	0.27	0.20125	0.3275	0.37125	0.17625	0.3175	0.1125	0.13	0.1875	0.38	0.32125	0.10375	0.3475	0.3675	0.31	0.34875	0.365	0.305	0.37125	0.3625	0.3725	0.37375	0.3475	0.35375	0.3525	0.27	0.35875	0.36875	0.34375	0.23375
SRR521213	0.1875	0.3175	0.3525	0.3125	0.205	0.28625	0.28375	0.25125	0.16875	0.3325	0.235	0.20375	0.0	0.26125	0.3425	0.24125	0.22125	0.305	0.2	0.285	0.14	0.20875	0.20375	0.495	0.25	0.20625	0.2575	0.125	0.48125	0.2425	0.17625	0.525	0.13	0.52375	0.53125	0.14125	0.2025	0.5075	0.4075	0.15625	0.1825	0.27375	0.50875	0.49	0.52	0.26375	0.5275	0.46125	0.5075	0.48375	0.47125	0.4475	0.51875	0.40625	0.5175	0.22375	0.2225	0.32625	0.15625	0.165	0.36125	0.22	0.43125	0.41625	0.37875	0.5025	0.53625	0.33625	0.47125	0.29625	0.2975	0.30625	0.55	0.4725	0.25	0.53125	0.5375	0.48	0.5225	0.53375	0.47375	0.5375	0.5275	0.5475	0.53875	0.52625	0.52625	0.52125	0.435	0.535	0.5375	0.5275	0.38625
SRR521214	0.30625	0.105	0.12875	0.135	0.21875	0.43625	0.1175	0.18125	0.27625	0.09125	0.1825	0.145	0.26125	0.0	0.15125	0.1775	0.1575	0.11875	0.1375	0.145	0.275	0.3375	0.275	0.25625	0.11875	0.17625	0.20625	0.32375	0.2475	0.12375	0.245	0.28375	0.18625	0.2825	0.29	0.29375	0.21875	0.26	0.18125	0.2875	0.1875	0.16	0.2625	0.2425	0.2725	0.33375	0.28625	0.225	0.25875	0.24875	0.23125	0.34375	0.27125	0.2175	0.27625	0.07875	0.1725	0.1075	0.265	0.28375	0.16	0.20125	0.3825	0.2175	0.16125	0.25875	0.28875	0.135	0.23625	0.11875	0.15375	0.21375	0.30875	0.22625	0.18875	0.28625	0.295	0.2425	0.275	0.2875	0.25	0.29625	0.28375	0.30625	0.29625	0.285	0.28375	0.28	0.255	0.29375	0.29625	0.28125	0.18875
SRR521235	0.37375	0.15125	0.18875	0.16375	0.2375	0.50875	0.15	0.21625	0.31125	0.17375	0.21375	0.19375	0.3425	0.15125	0.0	0.1975	0.20875	0.15625	0.21125	0.185	0.3375	0.355	0.3	0.1725	0.15125	0.21	0.21625	0.37	0.23875	0.1525	0.26875	0.29875	0.27875	0.3	0.30625	0.3075	0.21	0.26125	0.225	0.3275	0.21375	0.17	0.27375	0.255	0.24125	0.22375	0.30625	0.22	0.275	0.24	0.25375	0.24	0.28875	0.215	0.29	0.19375	0.18875	0.2075	0.32625	0.31875	0.19625	0.205	0.26875	0.22375	0.19375	0.275	0.28875	0.18875	0.14875	0.1625	0.1725	0.10125	0.3275	0.18625	0.2175	0.305	0.31	0.23875	0.26625	0.27125	0.24	0.315	0.3	0.32625	0.3175	0.30375	0.29875	0.30125	0.18125	0.3125	0.31625	0.3	0.19875
SRR521190	0.21125	0.175	0.18125	0.16	0.085	0.33	0.10625	0.0875	0.1525	0.20125	0.09875	0.0775	0.24125	0.1775	0.1975	0.0	0.06375	0.12125	0.09	0.1175	0.1825	0.20375	0.12625	0.34125	0.1	0.11625	0.08125	0.21	0.33625	0.125	0.1325	0.37125	0.18875	0.36	0.37625	0.16375	0.11625	0.34875	0.22375	0.15625	0.0775	0.09625	0.3525	0.325	0.36	0.2275	0.385	0.31625	0.3425	0.33	0.30875	0.3225	0.355	0.26875	0.35125	0.16375	0.085	0.2425	0.1625	0.155	0.2075	0.10125	0.34875	0.275	0.2175	0.34625	0.38125	0.18625	0.32625	0.1175	0.1525	0.16125	0.38625	0.325	0.13125	0.3675	0.37875	0.33125	0.3625	0.375	0.31625	0.38125	0.36625	0.38125	0.38375	0.36625	0.37125	0.37	0.285	0.3775	0.38	0.365	0.235
SRR521196	0.21625	0.16125	0.1725	0.14875	0.0875	0.33	0.105	0.075	0.15375	0.19125	0.07	0.0725	0.22125	0.1575	0.20875	0.06375	0.0	0.1175	0.04375	0.10625	0.18	0.2225	0.14875	0.34375	0.08625	0.08875	0.0825	0.20375	0.34	0.10375	0.12375	0.37375	0.15875	0.36375	0.37875	0.155	0.11	0.35	0.2275	0.17	0.07625	0.115	0.35875	0.33	0.36125	0.2275	0.39375	0.32375	0.345	0.33	0.30875	0.31625	0.35875	0.26	0.35625	0.12375	0.0725	0.22875	0.1675	0.15875	0.1925	0.09875	0.33	0.26625	0.21125	0.3525	0.39125	0.16625	0.3325	0.11375	0.12875	0.17125	0.3875	0.3375	0.0975	0.36875	0.37875	0.32375	0.36375	0.38625	0.3125	0.3825	0.3675	0.3825	0.385	0.36625	0.3775	0.375	0.27125	0.38	0.37875	0.3675	0.23
SRR521177	0.3	0.0775	0.09	0.06125	0.15375	0.41625	0.07	0.1225	0.23	0.10375	0.12875	0.13625	0.305	0.11875	0.15625	0.12125	0.1175	0.0	0.13875	0.08125	0.25875	0.28375	0.21875	0.26375	0.07625	0.17125	0.1275	0.29	0.25625	0.1075	0.1825	0.27625	0.2575	0.2675	0.27875	0.21125	0.16	0.25625	0.11875	0.25625	0.13875	0.11125	0.26125	0.2375	0.2725	0.28875	0.30875	0.24375	0.25875	0.24125	0.20875	0.3175	0.2675	0.18625	0.26	0.15375	0.12375	0.17	0.2575	0.2275	0.09875	0.155	0.34375	0.185	0.11125	0.2625	0.3025	0.08125	0.2475	0.05375	0.07875	0.1875	0.29375	0.25125	0.1425	0.275	0.2875	0.245	0.27125	0.2975	0.2225	0.28625	0.27375	0.2875	0.29	0.27125	0.29	0.28375	0.205	0.2875	0.28375	0.275	0.1575
SRR521198	0.20375	0.175	0.185	0.16125	0.0975	0.31875	0.1225	0.09125	0.1625	0.18	0.0775	0.08125	0.2	0.1375	0.21125	0.09	0.04375	0.13875	0.0	0.12375	0.165	0.2325	0.16125	0.34875	0.09	0.09	0.09125	0.2025	0.34125	0.095	0.135	0.3825	0.135	0.37375	0.38875	0.17125	0.1225	0.3575	0.24375	0.17125	0.08625	0.1325	0.36875	0.33375	0.36375	0.22875	0.40375	0.325	0.34875	0.33125	0.325	0.3075	0.36125	0.26125	0.3675	0.1075	0.085	0.21	0.14625	0.17	0.20125	0.11375	0.32125	0.275	0.2225	0.3575	0.39625	0.185	0.3375	0.13	0.14	0.1825	0.4025	0.34	0.0975	0.3725	0.38875	0.325	0.37	0.39	0.32125	0.3925	0.38	0.3975	0.39625	0.37125	0.38125	0.37875	0.275	0.3825	0.39	0.36875	0.23
SRR521185	0.24875	0.1025	0.14375	0.08125	0.1125	0.36875	0.105	0.15	0.18	0.13625	0.12	0.12125	0.285	0.145	0.185	0.1175	0.10625	0.08125	0.12375	0.0	0.2175	0.25375	0.19375	0.29125	0.0625	0.15875	0.1	0.24375	0.28	0.07375	0.14	0.31125	0.24375	0.30625	0.31625	0.21125	0.15625	0.2925	0.175	0.20625	0.13875	0.1225	0.3	0.26875	0.29125	0.24875	0.33875	0.27125	0.27875	0.25625	0.25375	0.31125	0.295	0.205	0.30625	0.14	0.1	0.185	0.2125	0.185	0.13	0.145	0.3225	0.21	0.1475	0.28	0.33625	0.11375	0.275	0.08875	0.0575	0.15125	0.33	0.28625	0.13625	0.2975	0.32	0.25375	0.30875	0.33	0.25625	0.3225	0.31375	0.325	0.325	0.29375	0.3125	0.3075	0.20625	0.31375	0.31875	0.29625	0.175
SRR521225	0.11875	0.30125	0.30125	0.26375	0.12875	0.20875	0.25	0.21	0.11625	0.30875	0.145	0.17625	0.14	0.275	0.3375	0.1825	0.18	0.25875	0.165	0.2175	0.0	0.08625	0.09625	0.46125	0.22375	0.17625	0.19625	0.1	0.46125	0.22125	0.11875	0.47	0.19	0.4875	0.4875	0.12625	0.185	0.47375	0.36	0.09375	0.1475	0.2375	0.4775	0.4475	0.45	0.215	0.52625	0.4525	0.4475	0.425	0.435	0.40375	0.47125	0.385	0.46375	0.24875	0.1875	0.3375	0.0875	0.10625	0.3125	0.15375	0.39375	0.39125	0.35	0.4525	0.5175	0.29875	0.46375	0.2425	0.24625	0.29375	0.52125	0.47	0.20125	0.48	0.50625	0.4275	0.4825	0.5125	0.4375	0.4925	0.49	0.51375	0.50375	0.4575	0.48375	0.5	0.38125	0.49125	0.50625	0.46625	0.365
SRR521215	0.1125	0.325	0.3375	0.2925	0.1575	0.21	0.2825	0.24	0.15375	0.36	0.17875	0.215	0.20875	0.3375	0.355	0.20375	0.2225	0.28375	0.2325	0.25375	0.08625	0.0	0.0925	0.47125	0.2525	0.2175	0.2025	0.125	0.4725	0.27125	0.15875	0.48375	0.255	0.505	0.50875	0.15375	0.21	0.49	0.38	0.1	0.18	0.26125	0.4875	0.46125	0.46125	0.2275	0.55125	0.4675	0.45875	0.4375	0.4525	0.415	0.4775	0.3975	0.48125	0.315	0.22125	0.39125	0.10625	0.10625	0.3475	0.1825	0.4125	0.40375	0.375	0.47625	0.535	0.32125	0.47875	0.27375	0.27	0.31125	0.53875	0.48875	0.2325	0.4875	0.5275	0.44125	0.4975	0.52875	0.4525	0.5175	0.5075	0.5325	0.5275	0.47375	0.50375	0.525	0.3925	0.5125	0.53125	0.48125	0.38125
SRR521221	0.13625	0.26375	0.25875	0.24125	0.1025	0.235	0.2	0.17	0.12	0.30625	0.11375	0.155	0.20375	0.275	0.3	0.12625	0.14875	0.21875	0.16125	0.19375	0.09625	0.0925	0.0	0.42875	0.18625	0.155	0.1375	0.16125	0.4225	0.2175	0.13125	0.4375	0.19125	0.45125	0.45	0.11625	0.17625	0.4375	0.3125	0.0925	0.145	0.2	0.4325	0.40875	0.425	0.20125	0.49375	0.415	0.415	0.39125	0.4025	0.37	0.43	0.345	0.425	0.25125	0.165	0.335	0.09375	0.0925	0.28	0.14125	0.3575	0.34625	0.31125	0.42125	0.48125	0.26875	0.42375	0.20875	0.21375	0.255	0.4825	0.43	0.175	0.4375	0.475	0.39875	0.4475	0.475	0.3975	0.46125	0.4525	0.4775	0.47375	0.42125	0.4575	0.46625	0.33875	0.46125	0.475	0.435	0.32625
SRR521242	0.5025	0.22875	0.2325	0.26125	0.37625	0.64625	0.2725	0.35125	0.44625	0.23625	0.3425	0.33375	0.495	0.25625	0.1725	0.34125	0.34375	0.26375	0.34875	0.29125	0.46125	0.47125	0.42875	0.0	0.28	0.35	0.3475	0.49125	0.16375	0.285	0.405	0.18875	0.43125	0.225	0.22	0.4225	0.33875	0.185	0.205	0.4675	0.355	0.30875	0.20375	0.17125	0.12125	0.33125	0.24375	0.1775	0.1875	0.145	0.19	0.185	0.205	0.16	0.20375	0.32625	0.3175	0.2	0.45625	0.45125	0.2375	0.33125	0.22875	0.17875	0.19375	0.2025	0.2075	0.22625	0.065	0.2825	0.285	0.245	0.2525	0.17	0.3475	0.2225	0.22375	0.15375	0.17	0.18	0.1625	0.22125	0.225	0.245	0.2325	0.2175	0.19125	0.22	0.185	0.195	0.2325	0.215	0.15125
SRR521203	0.255	0.09375	0.12875	0.08625	0.12625	0.38375	0.06375	0.11375	0.18375	0.135	0.09875	0.08	0.25	0.11875	0.15125	0.1	0.08625	0.07625	0.09	0.0625	0.22375	0.2525	0.18625	0.28	0.0	0.12375	0.105	0.245	0.265	0.0575	0.15625	0.31125	0.205	0.31	0.32125	0.1875	0.13625	0.28625	0.18	0.21125	0.11125	0.10125	0.29625	0.26	0.2925	0.24	0.335	0.2575	0.2775	0.25625	0.24875	0.3025	0.29125	0.19	0.30875	0.11875	0.08125	0.1675	0.21	0.19625	0.1325	0.1175	0.31875	0.20125	0.14625	0.285	0.325	0.12125	0.26125	0.0675	0.06375	0.14375	0.3325	0.27375	0.11	0.30375	0.3225	0.25125	0.30125	0.31875	0.24875	0.32625	0.315	0.3275	0.32875	0.3025	0.31125	0.30875	0.20875	0.31375	0.32375	0.29875	0.1625
SRR521219	0.20875	0.19375	0.2125	0.1675	0.08625	0.3375	0.1375	0.11	0.14125	0.1975	0.11875	0.0525	0.20625	0.17625	0.21	0.11625	0.08875	0.17125	0.09	0.15875	0.17625	0.2175	0.155	0.35	0.12375	0.0	0.14125	0.20125	0.35	0.12875	0.10375	0.39875	0.15	0.395	0.405	0.1625	0.125	0.35625	0.2575	0.1675	0.0925	0.1275	0.38125	0.34875	0.35375	0.23	0.42375	0.335	0.36	0.33375	0.335	0.29	0.375	0.3	0.395	0.15875	0.10625	0.24875	0.16625	0.15125	0.22625	0.10375	0.3075	0.305	0.23375	0.36875	0.39375	0.2125	0.335	0.1475	0.16375	0.2075	0.42	0.33625	0.11	0.385	0.4075	0.335	0.36625	0.3825	0.33	0.41125	0.40375	0.4125	0.41375	0.38625	0.395	0.39125	0.28375	0.3975	0.4075	0.38125	0.26875
SRR521197	0.20125	0.15375	0.18125	0.145	0.09	0.32875	0.12125	0.0975	0.15625	0.195	0.09	0.1275	0.2575	0.20625	0.21625	0.08125	0.0825	0.1275	0.09125	0.1	0.19625	0.2025	0.1375	0.3475	0.105	0.14125	0.0	0.2075	0.335	0.1175	0.13	0.3725	0.21125	0.375	0.38	0.1775	0.1175	0.35875	0.22875	0.16375	0.1	0.12125	0.365	0.33125	0.3675	0.20875	0.4025	0.32125	0.35375	0.32875	0.30375	0.30875	0.37	0.25	0.36	0.16875	0.0925	0.25625	0.1625	0.13625	0.18	0.115	0.31875	0.275	0.21	0.35125	0.39375	0.17125	0.33625	0.1375	0.1275	0.1575	0.39875	0.3425	0.1075	0.38	0.39	0.33375	0.3725	0.3875	0.32125	0.3875	0.3825	0.39375	0.395	0.37	0.37875	0.375	0.28	0.3775	0.39	0.37875	0.2375
SRR521227	0.1075	0.32125	0.33	0.29375	0.165	0.2425	0.275	0.24	0.1325	0.3375	0.2125	0.20625	0.125	0.32375	0.37	0.21	0.20375	0.29	0.2025	0.24375	0.1	0.125	0.16125	0.49125	0.245	0.20125	0.2075	0.0	0.4925	0.2425	0.1375	0.51875	0.22875	0.53	0.5325	0.09625	0.19125	0.51625	0.39625	0.12125	0.1675	0.255	0.52375	0.48125	0.50125	0.22875	0.5575	0.4825	0.485	0.4675	0.46	0.43625	0.5175	0.40625	0.515	0.28	0.21	0.3775	0.11875	0.1125	0.3375	0.185	0.42	0.4325	0.37625	0.4925	0.54875	0.33375	0.495	0.2775	0.28125	0.315	0.55625	0.50125	0.23875	0.5275	0.545	0.47875	0.5275	0.54125	0.47875	0.5375	0.53375	0.54875	0.55	0.51125	0.51375	0.52875	0.43	0.52125	0.545	0.52625	0.38875
